name,designation,state,year_authorized
Acadia,NP,ME,1919
American Samoa,NP,AS,1988
Arches,NP,UT,1929
Badlands,NP,SD,1929
Big Bend,NP,TX,1935
Biscayne,NP,FL,1968
Black Canyon of the Gunnison,NP,CO,1933
Bryce Canyon,NP,UT,1924
Canyonlands,NP,UT,1964
Capitol Reef,NP,UT,1937
Carlsbad Caverns,NP,NM,1923
Cuyahoga Valley,NP,OH,1974
Channel Islands,NP,CA,1938
Crater Lake,NP,OR,1902
Congaree,NP,SC,1976
Death Valley,NP,CA NV,1993
Denali,PP,AK,1917
Dry Tortugas,NP,FL,1935
Everglades,PE,FL,1934
Gates of the Arctic,PP,AK,1978
Glacier,NP,MT,1910
Glacier Bay,PP,AK,1925
Grand Canyon,NP,AZ,1908
Grand Teton,NP,WY,1929
Great Basin,NP,NV,1986
Great Sand Dunes,PP,CO,1932
Great Smoky Mountains,NP,NC,1926
Guadalupe Mountains,NP,TX,1966
Haleakala,NP,HI,1916
Hawaii Volcanoes,NP,HI,1916
Hot Springs,NP,AR,1921
Isle Royale,NP,MI,1931
Joshua Tree,NP,CA,1936
Katmai,PP,AK,1918
Kenai Fjords,NP,AK,1978
Kings Canyon,NP,CA,1890
Kobuk Valley,NP,AK,1978
Lake Clark,PP,AK,1978
Lassen Volcanic,NP,CA,1907
Mammoth Cave,NP,KY,1926
Mesa Verde,NP,CO,1906
Mount Rainier,NP,WA,1899
North Cascades,NP,WA,1968
Olympic,NP,WA,1909
Petrified Forest,NP,AZ,1906
Pinnacles,NP,CA,1908
Redwood,NP,CA,1968
Rocky Mountain,NP,CO,1915
Saguaro,NP,AZ,1933
Sequoia,NP,CA,1890
Shenandoah,NP,VA,1926
Theodore Roosevelt,NP,ND,1947
Virgin Islands,NP,VI,1956
Voyageurs,NP,MN,1971
Wind Cave,NP,SD,1903
Wrangell St. Elias,PP,AK,1978
Yellowstone,NP,WY MT ID,1872
Yosemite,NP,CA,1890
Zion,NP,UT,1909
Agate Fossil Beds,MO,NE,1965
Agua Fria,MO,AZ,2000
Alibates Flint Quarries,MO,TX,1965
Aniakchak,MR,AK,1978
Aztec Ruins,MO,NM,1923
Bandelier,MO,NM,1916
Booker T Washington,MO,VA,1956
Buck Island Reef,MO,VI,1961
Cabrillo,MO,CA,1913
California Coastal,MO,CA,2000
Canyon de Chelly,MO,AZ,1931
Canyons of the Ancients,MO,CO,2000
Cape Krusenstern,MO,AK,1978
Capulin Volcano,MO,NM,1916
Carrizo Plain,MO,CA,2001
Casa Grande,MO,AZ,1892
Cascade Siskiyou,MO,OR,2000
Castillo de San Marcos,MO,FL,1924
Castle Clinton,MO,NY,1946
Cedar Breaks,MO,UT,1933
Chiricahua,MO,AZ,1924
Colorado,MO,CO,1911
Craters of the Moon,MO,ID,1924
Devils Postpile,MO,CA,1911
Devils Tower,MO,WY,1906
Dinosaur,MO,CO UT,1915
Effigy Mounds,MO,IA,1949
El Malpais,MO,NM,1987
El Morro,MO,NM,1906
Florissant Fossil Beds,MO,CO,1969
Fort Frederica,MO,GA,1936 
Fort McHenry,MO,MD,1925
Fort Matanzas,MO,FL,1924
Fort Pulaski,MO,GA,1924
Fort Stanwix,MO,NY,1935
Fort Sumter,MO,SC,1948
Fort Union,MO,NM,1954
Fossil Butte,MO,WY,1972
George Washington Birthplace,MO,VA,1930
George Washington Carver,MO,MO,1943
Giant Sequoia,MO,CA,2000
